OBJECTID,NYCEM_ID,FACILITY_NAME,ADDRESS,BOROUGH,ZIP_CODE,PHONE,HANDICAP_ACCESS,EXTENDED_HOURS,STATUS,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,X,Y,FACILITY_TYPE,Entrance_info
1,CC965,NYC Vaccine Hub - Beach 39th St,39-20 Rockaway Beach Blvd,Queens,11691,,Yes,No,OPEN,,,,10a-8p,10a-8p,10a-8p,10a-8p,1047725,155901.9999,Other,
4,CC1033,Free Synagogue of Flushing (Pet Friendly),41-60 Kissena Blvd,Queens,11355,,Yes,No,OPEN,,10a-8p,12p-8p,12p-8p,12p-6p,12p-8p,12p-8p,1031831,215278,Other,
9,CC1053,New Amsterdam Branch Library,9 Murray St,Manhattan,10007,(212) 732-8186,Yes,No,OPEN,10a-7p,10a-7p,10a-7p,10a-7p,10a-5p,10a-5p,,982074,199261,Library,
13,CC215,Chatham Square Library,33 East Broadway,Manhattan,10002,(212) 964-6598,Yes,No,OPEN,9a-7p,9a-7p,9a-7p,9a-7p,10a-6p,10a-5p,,985222,199149,Library,
15,CC120,Seward Park Library,192 East Broadway,Manhattan,10002,(212) 477-6770,Yes,No,OPEN,10a-8p,10a-8p,10a-8p,10a-8p,10a-5p,10a-5p,,987428,199577,Library,
21,CC122,Tompkins Square Library,331 E 10 St,Manhattan,10009,(212) 228-4747,Yes,No,OPEN,11a-7p,11a-7p,11a-7p,11a-7p,10a-6p,10a-5p,,989659,204226,Library,
26,CC263,Mulberry Street Library,10 Jersey St,Manhattan,10012,(212) 966-3424,Yes,No,OPEN,11a-7p,10a-7p,11a-7p,10a-7p,10a-5p,10a-5p,,985427,203065,Library,
28,CC459,Hudson Park Library,66 Leroy St,Manhattan,10014,(212) 243-6876,No,No,OPEN,10a-6p,10a-6p,10a-6p,10a-6p,10a-6p,10a-5p,,982769,205187,Library,
30,CC110,Our Lady of Pompeii NSC - SENIORS ONLY,25 Carmine St,Manhattan,10014,(212) 989-3620,Yes,No,OPEN,9a-5p,9a-5p,9a-5p,9a-5p,9a-5p,10a-4p,,983445,205440.9999,Senior center,Entrance on Carmine St.
34,CC244,Muhlenberg Library,209 W 23 St,Manhattan,10011,(212) 924-1585,Yes,No,OPEN,10a-7p,10a-7p,10a-7p,10a-7p,10a-6p,10a-5p,,985368,210525,Library,
38,CC1037,Petco Union Square - Pet Friendly,860 Broadway,Manhattan,10003,(212) 358-0692,Yes,No,OPEN,9a-9p,9a-9p,9a-9p,9a-9p,9a-9p,9a-9p,9a-9p,987075,207871,Other,
40,CC261,Kips Bay Library,446 3 Av,Manhattan,10016,(212) 683-2520,Yes,No,OPEN,10a-6p,10a-6p,10a-6p,10a-6p,10a-6p,10a-5p,,989811,210266,Library,
41,CC043,Epiphany Library,228 E 23 St,Manhattan,10010,(212) 679-2645,No,No,OPEN,12p-7p,10a-6p,12p-7p,10a-6p,10a-5p,10a-5p,,989218,208168,Library,
44,CC957,NYC Vaccine Hub - ATC Vaccination Times Square (Pet Friendly),"20 Times Square, 7 Av",Manhattan,10036,,Yes,No,OPEN,7:30a-7p,7:30a-7p,7:30a-7p,7:30a-8p,7:30a-8p,7:30a-8p,7:30a-7p,987979.4873,214779.745,Other,
45,CC004,Project Find Woodstock NSC - SENIORS ONLY,127 W 43 St,Manhattan,10036,(212) 575-0693,Yes,Hours may be extended during a heat emergency.,OPEN,8:30a-5p,8:30a-5p,8:30a-5p,8:30a-5p,8:30a-5p,8:30a-5p,8:30a-5p,988459.5733,214783.9527,Senior center,
49,CC091,Columbus Library,742 10 Av,Manhattan,10019,(212) 586-5098,Yes,No,OPEN,10a-7p,10a-7p,10a-7p,10a-7p,10a-5p,10a-5p,,986649,217970,Library,
56,CC1007,Louis D. Brandeis High School,145 WEST 84 STREET,Manhattan,10024,,Yes,No,OPEN,8a-5p,8a-5p,8a-5p,,,8a-5p,,991356,225657,School,
57,CC083,St Agnes Library,444 Amsterdam Av,Manhattan,10024,(212) 621-0619,Yes,No,OPEN,10a-6p,10a-7p,10a-7p,10a-7p,10a-6p,10a-6p,,990497.1367,225212.3249,Library,
59,CC584,53rd Street,18 West 53 St,Manhattan,10019,(212) 714-8400,Yes,No,OPEN,11a-6p,11a-6p,11a-6p,11a-6p,11a-6p,11a-6p,,990525.8539,216463.9392,Library,
63,CC094,Fifty Eighth Street Library,127 E 58 St,Manhattan,10022,(212) 759-7358,Yes,No,OPEN,10a-6p,10a-6p,10a-6p,10a-6p,10a-5p,10a-5p,,992745,216937,Library,
64,CC1043,Petco Turtle Bay - Pet Friendly,991 2nd Ave,Manhattan,10022,(212) 593-7213,Yes,No,OPEN,9a-9p,9a-9p,9a-9p,9a-9p,9a-9p,9a-9p,9a-9p,993190,214896,Other,
66,CC116,Yorkville Library,222 E 79 St,Manhattan,10021,(212) 744-5824,No,No,OPEN,11a-7p,10a-6p,11a-7p,10a-6p,10a-5p,10a-5p,,996317,221122,Library,
67,CC260,Sixty-Seventh Street Library,328 E 67 St,Manhattan,10065,(212) 734-1717,Yes,No,OPEN,11a-7p,11a-7p,11a-7p,11a-7p,10a-5p,10a-5p,,995450,217951,Library,
70,CC464,Webster Library,1465 York Av,Manhattan,10021,(212) 288-5049,Yes,No,OPEN,11a-7p,11a-7p,11a-7p,11a-7p,10a-5p,10a-5p,,997718,220048,Library,
72,CC1040,Petco 86TH Lexington NY - Pet Friendly,1280 Lexington Ave,Manhattan,10028,(212) 369-7903,Yes,No,OPEN,9a-9p,9a-9p,9a-9p,9a-9p,9a-9p,9a-9p,9a-9p,996515,223481,Other,
73,CC117,Ninety Sixth Street Library,112 E 96 St,Manhattan,10128,(212) 289-0908,Yes,No,OPEN,10a-7p,10a-7p,10a-7p,10a-7p,10a-5p,10a-5p,,997606,225653,Library,
77,CC524,Aguilar Library,174 E 110 St,Manhattan,10029,(212) 534-2930,Yes,No,OPEN,10a-6p,10a-6p,10a-6p,10a-6p,10a-6p,10a-5p,,999900,228619,Library,
78,CC335,Harlem Library,9 W 124 St,Manhattan,10027,(212) 348-5620,Yes,No,OPEN,11a-7p,11a-7p,11a-7p,11a-7p,10a-5p,10a-5p,,999942,233007,Library,
84,CC253,Robinson,110 E 129 St,Manhattan,10035,(646) 476-4088,Yes,Hours may be extended during a heat emergency.,OPEN,6p-10p,6p-10p,6p-10p,6p-10p,6p-10p,3p-11p,3p-11p,1001804,233237,Cornerstone Program,
85,CC337,One Hundred Twenty-fifth St Library,224 E 125 St,Manhattan,10035,(212) 534-5050,Yes,No,OPEN,11a-7p,11a-7p,11a-7p,11a-7p,10a-5p,10a-5p,,1002276,231831,Library,
87,CC1030,Harry Belafonte-15th Street Library,203 W 115th St New York NY 10026,Manhattan,10026,212-666-9393,Yes,No,OPEN,11a-7p,11a-7p,11a-7p,11a-7p,10a-5p,10a-5p,,997120,231835,Library,
88,CC355,One Hundred Fifteenth St Library,203 W 115 St,Manhattan,10026,(212) 666-9393,Yes,No,OPEN,11a-7p,11a-7p,11a-7p,11a-7p,10a-5p,10a-5p,,997118,231824,Library,
90,CC251,Bloomingdale Library,150 W 100 St,Manhattan,10025,(212) 222-8030,Yes,No,OPEN,10a-7p,10a-7p,11a-7p,11a-7p,10a-5p,10a-5p,,993159.7102,229257.1074,Library,
92,CC461,The Center at the Red Oak NSC - SENIORS ONLY,135 W 106 St,Manhattan,10025,(212) 749-7015,Yes,Hours may be extended during a heat emergency.,OPEN,8:30a-4p,8:30a-4p,8:30a-4p,8:30a-4p,8:30a-4p,8a-4p,,994165.9998,230837,Senior center,
93,CC112,Morningside Heights Library,2900 Broadway,Manhattan,10025,(212) 864-2530,Yes,No,OPEN,10a-6p,10a-6p,10a-6p,10a-6p,10a-6p,10a-5p,,993997,232947,Library,
94,CC336,Countee Cullen Library,104 W 136 St,Manhattan,10030,(212) 491-2070,Yes,No,OPEN,11a-7p,11a-7p,11a-7p,11a-7p,11a-5p,11a-5p,,1000539.848,236165.2429,Library,
97,CC857,P.S. 154 Harriet Tubman,250 WEST 127 STREET,Manhattan,10027,,No,Hours may be extended during a heat emergency.,OPEN,8a-5p,8a-5p,8a-5p,,,8a-5p,,998509.772,234509.2899,School,
98,CC1018,P.S. 180 Hugo Newman,370 WEST 120TH STREET,Manhattan,10027,,Yes,No,OPEN,8a-5p,8a-5p,8a-5p,8a-5p,8a-5p,8a-5p,,996468,233499,School,
99,CC354,George Bruce Library,518 W 125 St,Manhattan,10027,(212) 662-9727,Yes,No,OPEN,12p-7p,12p-7p,12p-7p,12p-7p,11a-6p,11a-6p,,996123,235765,Library,
103,CC937,Thomas Jefferson Recreation Center,2180 1 Av,Manhattan,10029,(212) 860-1383,Yes,No,OPEN,10a-6p,10a-6p,10a-6p,10a-6p,10a-6p,9a-3p,,1001762.682,228320.6887,Community center,
105,CC356,Hamilton Grange Library,503 W 145 St,Manhattan,10031,(212) 926-2147,Yes,No,OPEN,10a-7p,10a-7p,10a-7p,10a-7p,11a-6p,11a-5p,,998638.559,240098.9046,Library,
107,CC045,Washington Heights,1000 St Nicholas Av,Manhattan,10032,(212) 923-6054,Yes,No,OPEN,10a-7p,10a-7p,10a-7p,10a-7p,10a-5p,10a-5p,,1000915.511,243339.9645,Library,
125,CC339,Washington Heights Star NSC - SENIORS ONLY,650 W 187 St,Manhattan,10033,(212) 781-8331,No,No,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,9a-3p,,1002820,250243.9999,Senior center,
128,CC246,Andrew Heiskell Braille & Talking Book Library,40 W 20 St,Manhattan,10011,(212) 206-5400,Yes,No,OPEN,10a-5p,12p-7p,10a-5p,12p-7p,10a-5p,10a-5p,,986089,209046,Library,
